User_Agent,AcceptLanguage,AcceptEncoding,Page
Mozilla/5.0 (Macintosh; Intel Mac OS X 10.12; rv:10.0) Gecko/20100101 Firefox/10.0,fo,gzip,kitten1
Mozilla/5.0 (Macintosh; Intel Mac OS X 10.12; rv:10.0) Gecko/20100101 Firefox/10.0,fo,gzip,kitten1
Mozilla/5.0 (Macintosh; Intel Mac OS X 10.12; rv:10.0) Gecko/20100101 Firefox/10.0,fo,gzip,kitten1
Mozilla/5.0 (Macintosh; Intel Mac OS X 10.12; rv:10.0) Gecko/20100101 Firefox/10.0,fo,gzip,kitten1
Mozilla/5.0 (Macintosh; Intel Mac OS X 10.12; rv:10.0) Gecko/20100101 Firefox/10.0,fo,gzip,kitten1
Mozilla/5.0 (Macintosh; Intel Mac OS X 10.12; rv:10.0) Gecko/20100101 Firefox/10.0,fo,gzip,kitten1
Mozilla/5.0 (Macintosh; Intel Mac OS X 10.12; rv:10.0) Gecko/20100101 Firefox/10.0,fo,gzip,kitten1
Mozilla/5.0 (Macintosh; Intel Mac OS X 10.12; rv:10.0) Gecko/20100101 Firefox/10.0,fo,gzip,kitten1
Mozilla/5.0 (Macintosh; Intel Mac OS X 10.12; rv:10.0) Gecko/20100101 Firefox/10.0,fo,gzip,kitten1
Mozilla/4.0 (compatible; MSIE 5.01; Windows NT),or,gzip,kitten3
Mozilla/4.0 (compatible; MSIE 5.01; Windows NT),or,gzip,kitten3
Mozilla/4.0 (compatible; MSIE 5.01; Windows NT),or,gzip,kitten3
Mozilla/4.0 (compatible; MSIE 5.01; Windows NT),or,gzip,kitten3
Mozilla/4.0 (compatible; MSIE 5.01; Windows NT),or,gzip,kitten3
Mozilla/4.0 (compatible; MSIE 5.01; Windows NT),or,gzip,kitten3
Mozilla/4.0 (compatible; MSIE 5.01; Windows NT),or,gzip,kitten3
Mozilla/4.0 (compatible; MSIE 5.01; Windows NT),or,gzip,kitten3
Mozilla/4.0 (compatible; MSIE 5.01; Windows NT),or,gzip,kitten3
Mozilla/4.0 (compatible; MSIE 5.01; Windows NT),or,gzip,kitten3
Mozilla/5.0 (X11; U; Linux x86_64; en-US) AppleWebKit/534.10 (KHTML: like Gecko) Ubuntu/10.10 Chromium/8.0.552.237 Chrome/8.0.552.237 Safari/534.10,et,gzip,kitten3
Mozilla/5.0 (X11; U; Linux x86_64; en-US) AppleWebKit/534.10 (KHTML: like Gecko) Ubuntu/10.10 Chromium/8.0.552.237 Chrome/8.0.552.237 Safari/534.10,et,gzip,kitten3
Mozilla/5.0 (X11; U; Linux x86_64; en-US) AppleWebKit/534.10 (KHTML: like Gecko) Ubuntu/10.10 Chromium/8.0.552.237 Chrome/8.0.552.237 Safari/534.10,et,gzip,kitten3
Mozilla/5.0 (X11; U; Linux x86_64; en-US) AppleWebKit/534.10 (KHTML: like Gecko) Ubuntu/10.10 Chromium/8.0.552.237 Chrome/8.0.552.237 Safari/534.10,et,gzip,kitten3
Mozilla/5.0 (X11; U; Linux x86_64; en-US) AppleWebKit/534.10 (KHTML: like Gecko) Ubuntu/10.10 Chromium/8.0.552.237 Chrome/8.0.552.237 Safari/534.10,et,gzip,kitten3
Mozilla/5.0 (X11; U; Linux x86_64; en-US) AppleWebKit/534.10 (KHTML: like Gecko) Ubuntu/10.10 Chromium/8.0.552.237 Chrome/8.0.552.237 Safari/534.10,et,gzip,kitten3
Mozilla/5.0 (X11; U; Linux x86_64; en-US) AppleWebKit/534.10 (KHTML: like Gecko) Ubuntu/10.10 Chromium/8.0.552.237 Chrome/8.0.552.237 Safari/534.10,et,gzip,kitten3
Mozilla/5.0 (Windows NT 6.2; WOW64; rv:24.0) Gecko/20100101 Thunderbird/24.2.0,ty,gzip,kitten3
Mozilla/5.0 (Windows NT 6.2; WOW64; rv:24.0) Gecko/20100101 Thunderbird/24.2.0,ty,gzip,kitten3
Mozilla/5.0 (Windows NT 6.2; WOW64; rv:24.0) Gecko/20100101 Thunderbird/24.2.0,ty,gzip,kitten3
Mozilla/5.0 (Windows NT 6.2; WOW64; rv:24.0) Gecko/20100101 Thunderbird/24.2.0,ty,gzip,kitten3
Mozilla/5.0 (Windows NT 6.2; WOW64; rv:24.0) Gecko/20100101 Thunderbird/24.2.0,ty,gzip,kitten3
Mozilla/5.0 (Windows NT 6.2; WOW64; rv:24.0) Gecko/20100101 Thunderbird/24.2.0,ty,gzip,kitten3
Mozilla/5.0 (Windows NT 6.2; WOW64; rv:24.0) Gecko/20100101 Thunderbird/24.2.0,ty,gzip,kitten3
Mozilla/5.0 (Linux; Android 4.4; Nexus 5 Build/_BuildID_) AppleWebKit/537.36 (KHTML: like Gecko) Version/4.0 Chrome/30.0.0.0 Mobile Safari/537.36,no,gzip,kitten3
Mozilla/5.0 (Linux; Android 4.4; Nexus 5 Build/_BuildID_) AppleWebKit/537.36 (KHTML: like Gecko) Version/4.0 Chrome/30.0.0.0 Mobile Safari/537.36,no,gzip,kitten3
Mozilla/5.0 (Linux; Android 4.4; Nexus 5 Build/_BuildID_) AppleWebKit/537.36 (KHTML: like Gecko) Version/4.0 Chrome/30.0.0.0 Mobile Safari/537.36,no,gzip,kitten3
Mozilla/5.0 (Linux; Android 4.4; Nexus 5 Build/_BuildID_) AppleWebKit/537.36 (KHTML: like Gecko) Version/4.0 Chrome/30.0.0.0 Mobile Safari/537.36,no,gzip,kitten3
Mozilla/5.0 (Linux; Android 4.4; Nexus 5 Build/_BuildID_) AppleWebKit/537.36 (KHTML: like Gecko) Version/4.0 Chrome/30.0.0.0 Mobile Safari/537.36,no,gzip,kitten3
Mozilla/5.0 (Linux; Android 4.4; Nexus 5 Build/_BuildID_) AppleWebKit/537.36 (KHTML: like Gecko) Version/4.0 Chrome/30.0.0.0 Mobile Safari/537.36,no,gzip,kitten3
Mozilla/5.0 (iPod touch; CPU iPhone OS 8_3 like Mac OS X) AppleWebKit/600.1.4 (KHTML: like Gecko) FxiOS/1.0 Mobile/12F69 Safari/600.1.4,fj,gzip,kitten1
Mozilla/5.0 (iPod touch; CPU iPhone OS 8_3 like Mac OS X) AppleWebKit/600.1.4 (KHTML: like Gecko) FxiOS/1.0 Mobile/12F69 Safari/600.1.4,fj,gzip,kitten1
Mozilla/5.0 (iPod touch; CPU iPhone OS 8_3 like Mac OS X) AppleWebKit/600.1.4 (KHTML: like Gecko) FxiOS/1.0 Mobile/12F69 Safari/600.1.4,fj,gzip,kitten1
Mozilla/5.0 (iPod touch; CPU iPhone OS 8_3 like Mac OS X) AppleWebKit/600.1.4 (KHTML: like Gecko) FxiOS/1.0 Mobile/12F69 Safari/600.1.4,fj,gzip,kitten1
Mozilla/5.0 (iPod touch; CPU iPhone OS 8_3 like Mac OS X) AppleWebKit/600.1.4 (KHTML: like Gecko) FxiOS/1.0 Mobile/12F69 Safari/600.1.4,fj,gzip,kitten1
Mozilla/5.0 (iPod touch; CPU iPhone OS 8_3 like Mac OS X) AppleWebKit/600.1.4 (KHTML: like Gecko) FxiOS/1.0 Mobile/12F69 Safari/600.1.4,fj,gzip,kitten1
Mozilla/5.0 (Macintosh; Intel Mac OS X 10.12; rv:10.0) Gecko/20100101 Firefox/10.0,se,gzip,puppy2
Mozilla/5.0 (Macintosh; Intel Mac OS X 10.12; rv:10.0) Gecko/20100101 Firefox/10.0,se,gzip,puppy2
Mozilla/5.0 (Macintosh; Intel Mac OS X 10.12; rv:10.0) Gecko/20100101 Firefox/10.0,se,gzip,puppy2
Mozilla/5.0 (Macintosh; Intel Mac OS X 10.12; rv:10.0) Gecko/20100101 Firefox/10.0,se,gzip,puppy2
Mozilla/5.0 (Macintosh; Intel Mac OS X 10.12; rv:10.0) Gecko/20100101 Firefox/10.0,se,gzip,puppy2
Mozilla/5.0 (Macintosh; Intel Mac OS X 10.12; rv:10.0) Gecko/20100101 Firefox/10.0,se,gzip,puppy2
Mozilla/5.0 (Macintosh; Intel Mac OS X 10.12; rv:10.0) Gecko/20100101 Firefox/10.0,se,gzip,puppy2
Mozilla/5.0 (X11; U; Linux i686; en-US; rv:1.8.1.14) Gecko/20080505 Thunderbird/2.0.0.14,sl,gzip,kitten3
Mozilla/5.0 (X11; U; Linux i686; en-US; rv:1.8.1.14) Gecko/20080505 Thunderbird/2.0.0.14,sl,gzip,kitten3
Mozilla/5.0 (X11; U; Linux i686; en-US; rv:1.8.1.14) Gecko/20080505 Thunderbird/2.0.0.14,sl,gzip,kitten3
Mozilla/5.0 (X11; U; Linux i686; en-US; rv:1.8.1.14) Gecko/20080505 Thunderbird/2.0.0.14,sl,gzip,kitten3
Mozilla/5.0 (X11; U; Linux i686; en-US; rv:1.8.1.14) Gecko/20080505 Thunderbird/2.0.0.14,sl,gzip,kitten3
Mozilla/5.0 (X11; U; Linux i686; en-US; rv:1.8.1.14) Gecko/20080505 Thunderbird/2.0.0.14,sl,gzip,kitten3
Mozilla/5.0 (X11; U; Linux i686; en-US; rv:1.8.1.14) Gecko/20080505 Thunderbird/2.0.0.14,sl,gzip,kitten3
Mozilla/5.0 (iPhone; CPU iPhone OS 8_3 like Mac OS X) AppleWebKit/600.1.4 (KHTML: like Gecko) FxiOS/1.0 Mobile/12F69 Safari/600.1.4,yo,gzip,puppy2
Mozilla/5.0 (iPhone; CPU iPhone OS 8_3 like Mac OS X) AppleWebKit/600.1.4 (KHTML: like Gecko) FxiOS/1.0 Mobile/12F69 Safari/600.1.4,yo,gzip,puppy2
Mozilla/5.0 (iPhone; CPU iPhone OS 8_3 like Mac OS X) AppleWebKit/600.1.4 (KHTML: like Gecko) FxiOS/1.0 Mobile/12F69 Safari/600.1.4,yo,gzip,puppy2
Mozilla/5.0 (iPhone; CPU iPhone OS 8_3 like Mac OS X) AppleWebKit/600.1.4 (KHTML: like Gecko) FxiOS/1.0 Mobile/12F69 Safari/600.1.4,yo,gzip,puppy2
Mozilla/5.0 (iPhone; CPU iPhone OS 8_3 like Mac OS X) AppleWebKit/600.1.4 (KHTML: like Gecko) FxiOS/1.0 Mobile/12F69 Safari/600.1.4,yo,gzip,puppy2
Mozilla/5.0 (iPhone; CPU iPhone OS 8_3 like Mac OS X) AppleWebKit/600.1.4 (KHTML: like Gecko) FxiOS/1.0 Mobile/12F69 Safari/600.1.4,yo,gzip,puppy2
Mozilla/5.0 (Linux; Android 5.1.1; Nexus 5 Build/LMY48B; wv) AppleWebKit/537.36 (KHTML: like Gecko) Version/4.0 Chrome/43.0.2357.65 Mobile Safari/537.36,mr,gzip,kitten3
Mozilla/5.0 (Linux; Android 5.1.1; Nexus 5 Build/LMY48B; wv) AppleWebKit/537.36 (KHTML: like Gecko) Version/4.0 Chrome/43.0.2357.65 Mobile Safari/537.36,mr,gzip,kitten3
Mozilla/5.0 (Linux; Android 5.1.1; Nexus 5 Build/LMY48B; wv) AppleWebKit/537.36 (KHTML: like Gecko) Version/4.0 Chrome/43.0.2357.65 Mobile Safari/537.36,mr,gzip,kitten3
Mozilla/5.0 (Linux; Android 5.1.1; Nexus 5 Build/LMY48B; wv) AppleWebKit/537.36 (KHTML: like Gecko) Version/4.0 Chrome/43.0.2357.65 Mobile Safari/537.36,mr,gzip,kitten3
Mozilla/5.0 (Linux; Android 5.1.1; Nexus 5 Build/LMY48B; wv) AppleWebKit/537.36 (KHTML: like Gecko) Version/4.0 Chrome/43.0.2357.65 Mobile Safari/537.36,mr,gzip,kitten3
Mozilla/5.0 (Linux; Android 5.1.1; Nexus 5 Build/LMY48B; wv) AppleWebKit/537.36 (KHTML: like Gecko) Version/4.0 Chrome/43.0.2357.65 Mobile Safari/537.36,mr,gzip,kitten3
Mozilla/5.0 (Linux; Android 5.1.1; Nexus 5 Build/LMY48B; wv) AppleWebKit/537.36 (KHTML: like Gecko) Version/4.0 Chrome/43.0.2357.65 Mobile Safari/537.36,mr,gzip,kitten3
Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML: like Gecko) Chrome/46.0.2486.0 Safari/537.36 Edge/13.10547,te,gzip,puppy2
Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML: like Gecko) Chrome/46.0.2486.0 Safari/537.36 Edge/13.10547,te,gzip,puppy2
Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML: like Gecko) Chrome/46.0.2486.0 Safari/537.36 Edge/13.10547,te,gzip,puppy2
Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML: like Gecko) Chrome/46.0.2486.0 Safari/537.36 Edge/13.10547,te,gzip,puppy2
Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML: like Gecko) Chrome/46.0.2486.0 Safari/537.36 Edge/13.10547,te,gzip,puppy2
Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML: like Gecko) Chrome/46.0.2486.0 Safari/537.36 Edge/13.10547,te,gzip,puppy2
Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML: like Gecko) Chrome/46.0.2486.0 Safari/537.36 Edge/13.10547,te,gzip,puppy2
Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML: like Gecko) Chrome/46.0.2486.0 Safari/537.36 Edge/13.10547,te,gzip,puppy2
Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML: like Gecko) Chrome/46.0.2486.0 Safari/537.36 Edge/13.10547,te,gzip,puppy2
Mozilla/5.0 (BlackBerry; U; BlackBerry 9800; nl) AppleWebKit/534.8  (KHTML: like Gecko) Version/6.0.0.668 Mobile Safari/534.8,vi,gzip,puppy3
Mozilla/5.0 (BlackBerry; U; BlackBerry 9800; nl) AppleWebKit/534.8  (KHTML: like Gecko) Version/6.0.0.668 Mobile Safari/534.8,vi,gzip,puppy3
Mozilla/5.0 (BlackBerry; U; BlackBerry 9800; nl) AppleWebKit/534.8  (KHTML: like Gecko) Version/6.0.0.668 Mobile Safari/534.8,vi,gzip,puppy3
Mozilla/5.0 (BlackBerry; U; BlackBerry 9800; nl) AppleWebKit/534.8  (KHTML: like Gecko) Version/6.0.0.668 Mobile Safari/534.8,vi,gzip,puppy3
Mozilla/5.0 (BlackBerry; U; BlackBerry 9800; nl) AppleWebKit/534.8  (KHTML: like Gecko) Version/6.0.0.668 Mobile Safari/534.8,vi,gzip,puppy3
Mozilla/5.0 (BlackBerry; U; BlackBerry 9800; nl) AppleWebKit/534.8  (KHTML: like Gecko) Version/6.0.0.668 Mobile Safari/534.8,vi,gzip,puppy3
Mozilla/5.0 (BlackBerry; U; BlackBerry 9800; nl) AppleWebKit/534.8  (KHTML: like Gecko) Version/6.0.0.668 Mobile Safari/534.8,vi,gzip,puppy3
Mozilla/5.0 (BlackBerry; U; BlackBerry 9800; nl) AppleWebKit/534.8  (KHTML: like Gecko) Version/6.0.0.668 Mobile Safari/534.8,vi,gzip,puppy3
Mozilla/5.0 (Linux; Android 4.0.4; Galaxy Nexus Build/IMM76B) AppleWebKit/535.19 (KHTML: like Gecko) Chrome/18.0.1025.133 Mobile Safari/535.19,wo,gzip,kitten1
Mozilla/5.0 (Linux; Android 4.0.4; Galaxy Nexus Build/IMM76B) AppleWebKit/535.19 (KHTML: like Gecko) Chrome/18.0.1025.133 Mobile Safari/535.19,wo,gzip,kitten1
Mozilla/5.0 (Linux; Android 4.0.4; Galaxy Nexus Build/IMM76B) AppleWebKit/535.19 (KHTML: like Gecko) Chrome/18.0.1025.133 Mobile Safari/535.19,wo,gzip,kitten1
Mozilla/5.0 (Linux; Android 4.0.4; Galaxy Nexus Build/IMM76B) AppleWebKit/535.19 (KHTML: like Gecko) Chrome/18.0.1025.133 Mobile Safari/535.19,wo,gzip,kitten1
Mozilla/5.0 (Linux; Android 4.0.4; Galaxy Nexus Build/IMM76B) AppleWebKit/535.19 (KHTML: like Gecko) Chrome/18.0.1025.133 Mobile Safari/535.19,wo,gzip,kitten1
Mozilla/5.0 (Linux; Android 4.0.4; Galaxy Nexus Build/IMM76B) AppleWebKit/535.19 (KHTML: like Gecko) Chrome/18.0.1025.133 Mobile Safari/535.19,wo,gzip,kitten1
Mozilla/5.0 (Linux; Android 4.0.4; Galaxy Nexus Build/IMM76B) AppleWebKit/535.19 (KHTML: like Gecko) Chrome/18.0.1025.133 Mobile Safari/535.19,wo,gzip,kitten1
Mozilla/5.0 (Linux; Android 4.0.4; Galaxy Nexus Build/IMM76B) AppleWebKit/535.19 (KHTML: like Gecko) Chrome/18.0.1025.133 Mobile Safari/535.19,wo,gzip,kitten1
Mozilla/5.0 (Linux; Android 4.0.4; Galaxy Nexus Build/IMM76B) AppleWebKit/535.19 (KHTML: like Gecko) Chrome/18.0.1025.133 Mobile Safari/535.19,wo,gzip,kitten1
Mozilla/5.0 (X11; Linux x86_64; rv:10.0) Gecko/20100101 Firefox/10.0,ro,gzip,kitten1
Mozilla/5.0 (X11; Linux x86_64; rv:10.0) Gecko/20100101 Firefox/10.0,ro,gzip,kitten1
Mozilla/5.0 (X11; Linux x86_64; rv:10.0) Gecko/20100101 Firefox/10.0,ro,gzip,kitten1
Mozilla/5.0 (X11; Linux x86_64; rv:10.0) Gecko/20100101 Firefox/10.0,ro,gzip,kitten1
Mozilla/5.0 (X11; Linux x86_64; rv:10.0) Gecko/20100101 Firefox/10.0,ro,gzip,kitten1
Mozilla/5.0 (X11; Linux x86_64; rv:10.0) Gecko/20100101 Firefox/10.0,ro,gzip,kitten1
Mozilla/5.0 (X11; Linux x86_64; rv:10.0) Gecko/20100101 Firefox/10.0,ro,gzip,kitten1
Mozilla/5.0 (X11; Linux x86_64; rv:10.0) Gecko/20100101 Firefox/10.0,ro,gzip,kitten1
Mozilla/5.0 (X11; Linux x86_64; rv:10.0) Gecko/20100101 Firefox/10.0,ro,gzip,kitten1
Mozilla/5.0 (X11; Linux x86_64; rv:10.0) Gecko/20100101 Firefox/10.0,ro,gzip,kitten1
Mozilla/5.0 (Windows Phone 10.0; Android 4.2.1; HTC; 0P6B180) AppleWebKit/537.36 (KHTML: like Gecko) Chrome/46.0.2486.0 Mobile Safari/537.36 Edge/13.10586,dv,gzip,puppy2
Mozilla/5.0 (Windows Phone 10.0; Android 4.2.1; HTC; 0P6B180) AppleWebKit/537.36 (KHTML: like Gecko) Chrome/46.0.2486.0 Mobile Safari/537.36 Edge/13.10586,dv,gzip,puppy2
Mozilla/5.0 (Windows Phone 10.0; Android 4.2.1; HTC; 0P6B180) AppleWebKit/537.36 (KHTML: like Gecko) Chrome/46.0.2486.0 Mobile Safari/537.36 Edge/13.10586,dv,gzip,puppy2
Mozilla/5.0 (Windows Phone 10.0; Android 4.2.1; HTC; 0P6B180) AppleWebKit/537.36 (KHTML: like Gecko) Chrome/46.0.2486.0 Mobile Safari/537.36 Edge/13.10586,dv,gzip,puppy2
Mozilla/5.0 (Windows Phone 10.0; Android 4.2.1; HTC; 0P6B180) AppleWebKit/537.36 (KHTML: like Gecko) Chrome/46.0.2486.0 Mobile Safari/537.36 Edge/13.10586,dv,gzip,puppy2
Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML: like Gecko) Chrome/46.0.2486.0 Safari/537.36 Edge/13.10547,ca,gzip,kitten2
Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML: like Gecko) Chrome/46.0.2486.0 Safari/537.36 Edge/13.10547,ca,gzip,kitten2
Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML: like Gecko) Chrome/46.0.2486.0 Safari/537.36 Edge/13.10547,ca,gzip,kitten2
Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML: like Gecko) Chrome/46.0.2486.0 Safari/537.36 Edge/13.10547,ca,gzip,kitten2
Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML: like Gecko) Chrome/46.0.2486.0 Safari/537.36 Edge/13.10547,ca,gzip,kitten2
Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML: like Gecko) Chrome/46.0.2486.0 Safari/537.36 Edge/13.10547,ca,gzip,kitten2
Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML: like Gecko) Chrome/46.0.2486.0 Safari/537.36 Edge/13.10547,ca,gzip,kitten2
Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML: like Gecko) Chrome/46.0.2486.0 Safari/537.36 Edge/13.10547,ca,gzip,kitten2
Mozilla/5.0 (Android; Mobile; rv:40.0) Gecko/40.0 Firefox/40.0,ar,gzip,puppy1
Mozilla/5.0 (Android; Mobile; rv:40.0) Gecko/40.0 Firefox/40.0,ar,gzip,puppy1
Mozilla/5.0 (Android; Mobile; rv:40.0) Gecko/40.0 Firefox/40.0,ar,gzip,puppy1
Mozilla/5.0 (Android; Mobile; rv:40.0) Gecko/40.0 Firefox/40.0,ar,gzip,puppy1
Mozilla/5.0 (Android; Mobile; rv:40.0) Gecko/40.0 Firefox/40.0,ar,gzip,puppy1
Mozilla/5.0 (Android; Mobile; rv:40.0) Gecko/40.0 Firefox/40.0,ar,gzip,puppy1
Mozilla/5.0 (Android; Mobile; rv:40.0) Gecko/40.0 Firefox/40.0,ar,gzip,puppy1
Mozilla/5.0 (Android; Mobile; rv:40.0) Gecko/40.0 Firefox/40.0,ar,gzip,puppy1
Mozilla/5.0 (Android; Mobile; rv:40.0) Gecko/40.0 Firefox/40.0,ar,gzip,puppy1
Mozilla/5.0 (Android; Mobile; rv:40.0) Gecko/40.0 Firefox/40.0,ar,gzip,puppy1
Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; Win64; x64; Trident/6.0),se,gzip,kitten2
Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; Win64; x64; Trident/6.0),se,gzip,kitten2
Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; Win64; x64; Trident/6.0),se,gzip,kitten2
Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; Win64; x64; Trident/6.0),se,gzip,kitten2
Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; Win64; x64; Trident/6.0),se,gzip,kitten2
Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; Win64; x64; Trident/6.0),se,gzip,kitten2
Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; Win64; x64; Trident/6.0),se,gzip,kitten2
Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; Win64; x64; Trident/6.0),se,gzip,kitten2
Mozilla/5.0 (BlackBerry; U; BlackBerry 9800; nl) AppleWebKit/534.8  (KHTML: like Gecko) Version/6.0.0.668 Mobile Safari/534.8,pa,gzip,kitten3
Mozilla/5.0 (BlackBerry; U; BlackBerry 9800; nl) AppleWebKit/534.8  (KHTML: like Gecko) Version/6.0.0.668 Mobile Safari/534.8,pa,gzip,kitten3
Mozilla/5.0 (BlackBerry; U; BlackBerry 9800; nl) AppleWebKit/534.8  (KHTML: like Gecko) Version/6.0.0.668 Mobile Safari/534.8,pa,gzip,kitten3
Mozilla/5.0 (BlackBerry; U; BlackBerry 9800; nl) AppleWebKit/534.8  (KHTML: like Gecko) Version/6.0.0.668 Mobile Safari/534.8,pa,gzip,kitten3
Mozilla/5.0 (BlackBerry; U; BlackBerry 9800; nl) AppleWebKit/534.8  (KHTML: like Gecko) Version/6.0.0.668 Mobile Safari/534.8,pa,gzip,kitten3
Mozilla/5.0 (BlackBerry; U; BlackBerry 9800; nl) AppleWebKit/534.8  (KHTML: like Gecko) Version/6.0.0.668 Mobile Safari/534.8,pa,gzip,kitten3
Mozilla/5.0 (BlackBerry; U; BlackBerry 9800; nl) AppleWebKit/534.8  (KHTML: like Gecko) Version/6.0.0.668 Mobile Safari/534.8,pa,gzip,kitten3
Mozilla/5.0 (BlackBerry; U; BlackBerry 9800; nl) AppleWebKit/534.8  (KHTML: like Gecko) Version/6.0.0.668 Mobile Safari/534.8,pa,gzip,kitten3
